Phylloscopus xanthodryas
Phylloscopus yunnanensis
Pica serica
Picus canus
Pitta moluccensis
Pitta nympha
Pitta sordida
Platalea leucorodia
Platalea minor
Plectrophenax nivalis
Plegadis falcinellus
Ploceus cucullatus
Pluvialis fulva
Pluvialis squatarola
Pnoepyga formosana
Pnoepyga pusilla
Podiceps auritus
Podiceps cristatus
Podiceps grisegena
Podiceps nigricollis
Poicephalus senegalus
Poliolimnas cinereus
Pomatorhinus musicus
Porphyrio poliocephalus
Porzana porzana
Primolius auricollis
Prinia flaviventris
Prinia inornata
Prinia striata
Prunella collaris
Prunella montanella
Pseudobulweria rostrata
Psilopogon nuchalis
Psittacara erythrogenys
Psittacula eupatria
Psittacula krameri
Psittacus erithacus
Pterodroma externa
Pterodroma hypoleuca
Pterodroma neglecta
Pterodroma solandri
Pterorhinus chinensis
Pterorhinus perspicillatus
Pterorhinus poecilorhynchus
Pterorhinus ruficeps
Pterorhinus sannio
Ptyonoprogne rupestris
Puffinus bailloni
Puffinus bannermani
Puffinus heinrothi
Puffinus nativitatis
Pycnonotus aurigaster
Pycnonotus jocosus
Pycnonotus sinensis
Pycnonotus taivanus
Pyrrhocorax pyrrhocorax
Pyrrhula nipalensis
Pyrrhula owstoni
Pyrrhula pyrrhula
Rallina eurizonoides
Rallina fasciata
Rallus aquaticus
Rallus indicus
Ramphiculus leclancheri
Recurvirostra avosetta
Regulus goodfellowi
Regulus regulus
Remiz consobrinus
Rhipidura nigritorquis
Rhodostethia rosea
Riparia chinensis
Riparia diluta
Riparia riparia
Rissa tridactyla
Rostratula benghalensis
Saundersilarus saundersi
Saxicola caprata
Saxicola ferreus
Saxicola stejnegeri
Schoeniparus brunneus
Scolopax rusticola
Sibirionetta formosa
Sicalis columbiana
Sicalis flaveola
Sitta europaea
Sittiparus castaneoventris
Sittiparus varius
Spatula clypeata
Spatula querquedula
Spilopelia chinensis
Spilornis cheela
Spinus spinus
Spizixos semitorques
Spodiopsar cineraceus
Spodiopsar sericeus
Staphida torqueola
Stercorarius longicaudus
Stercorarius maccormicki
Stercorarius parasiticus
Stercorarius pomarinus
Sterna dougallii
Sterna hirundo
Sterna sumatrana
Sternula albifrons
Sternula antillarum
Streptopelia decaocto
Streptopelia orientalis
Streptopelia tranquebarica
Strix leptogrammica
Strix nivicolum
Sturnia malabarica
Sturnia pagodarum
Sturnia sinensis
Sturnus vulgaris
Sula brewsteri
Sula dactylatra
Sula leucogaster
Sula sula
Surniculus lugubris
Suthora verreauxi
Suthora webbiana
Synoicus chinensis
Synthliboramphus antiquus
Synthliboramphus wumizusume
Syrmaticus mikado
Tachybaptus ruficollis
Tachyspiza badia
Tachyspiza gularis
Tachyspiza soloensis
Tachyspiza virgata
Tadorna ferruginea
Tadorna tadorna
Taenioptynx brodiei
Tarsiger cyanurus
Tarsiger formosanus
Tarsiger johnstoniae
Terpsiphone atrocaudata
Terpsiphone incei
Thalasseus bengalensis
Thalasseus bergii
Thalasseus bernsteini
Thalasseus sandvicensis
Thinornis dubius
Thinornis placidus
Threskiornis aethiopicus
Threskiornis melanocephalus
Todiramphus chloris
Treron bicinctus
Treron curvirostra
Treron formosae
Treron sieboldii
Trichoglossus borneus
Trichoglossus haematodus
Trichoglossus moluccanus
Trichoglossus rubritorquis
Tringa brevipes
Tringa erythropus
Tringa flavipes
Tringa glareola
Tringa guttifer
Tringa incana
Tringa nebularia
Tringa ochropus
Tringa stagnatilis
Tringa totanus
Trochalopteron morrisonianum
Troglodytes troglodytes
Turdus atrogularis
Turdus cardis
Turdus chrysolaus
Turdus eunomus
Turdus feae
Turdus hortulorum
Turdus mandarinus
Turdus mupinensis
Turdus naumanni
Turdus niveiceps
Turdus obscurus
Turdus pallidus
Turdus ruficollis
Turdus viscivorus
Turnix suscitator
Turnix sylvaticus
Turnix tanki
Tyto longimembris
Upupa epops
Uria aalge
Urile pelagicus
Urile urile
Urocissa caerulea
Urocissa erythroryncha
Urosphena squameiceps
Vanellus cinereus
Vanellus vanellus
Vidua chalybeata
Vidua macroura
Xema sabini
Xenus cinereus
Yuhina brunneiceps
Yungipicus canicapillus
Zapornia akool
Zapornia fusca
Zapornia paykullii
Zapornia pusilla
Zoothera aurea
Zoothera dauma
Zosterops erythropleurus
Zosterops japonicus
Zosterops meyeni
Zosterops simplex
